accession,disease_name,omim_id
HMDB0000099,Folate deficiency;Vitamin B12 deficiency;Alzheimer's disease;Autism;Hypermethioninemia;Crohn's disease;Ulcerative colitis;Cystathioninuria;Eosinophilic esophagitis,NA;NA;104300;209850;613752;266600;NA;219500;610247
HMDB0000101,Colorectal cancer;Adenosine deaminase deficiency;Eosinophilic esophagitis;Adenylosuccinate lyase deficiency,114500;102700;610247;103050
HMDB0000107,Alzheimer's disease;Irritable bowel syndrome;Galactosemia,104300;NA;NA
HMDB0000108,Kidney disease;Alcoholism;Early preeclampsia;Pregnancy;Late-onset preeclampsia;Cervical myelopathy;Ulcerative colitis;Irritable bowel syndrome;Nonalcoholic fatty liver disease;Autism;Pervasive developmental disorder not otherwise specified;Crohn's disease;Diverticular disease;Celiac disease;Lung Cancer;Autosomal  dominant polycystic kidney disease;Eosinophilic esophagitis,NA;NA;NA;NA;NA;NA;NA;NA;NA;209850;NA;266600;NA;212750;211980;601313;610247
HMDB0000112,Alzheimer's disease;Hepatic encephalopathy;Gaba-transaminase deficiency;Tuberculous meningitis;Meningitis;Epilepsy;Febrile seizures;Pyridoxine-dependent epilepsy;Hyperekplexia;Irritable bowel syndrome;Colorectal cancer;Crohn's disease;Ulcerative colitis;Perillyl alcohol administration for cancer treatment;Pancreatic cancer;Periodontal disease;Frontotemporal dementia;Lewy body disease;Hyper beta-alaninemia;Diabetes mellitus type 1;Eosinophilic esophagitis,104300;NA;613163;NA;NA;NA;604352;266100;149400;NA;114500;266600;NA;NA;260350;170650;600274;NA;237400;222100;610247
HMDB0000114,,
HMDB0000115,Ethylene glycol poisoning;Hemodialysis;Branched-chain Keto Acid Dehydrogenase Kinase Deficiency;Transurethral resection of the prostate;Colorectal cancer;Lung Cancer;Biliary atresia;Eosinophilic esophagitis;Schizophrenia;Fumarase deficiency;D-2-hydroxyglutaric aciduria;Primary hyperoxaluria I;Glycolic aciduria;Glutaric acidemia type 2,NA;NA;614923;NA;114500;211980;210500;610247;181500;606812;600721;NA;259900;231680
HMDB0000118,Hypothyroidism;Narcolepsy;Growth hormone deficiency;Schizophrenia;Epilepsy;Panic disorder;Olivopontocerebral atrophy;Hereditary spastic paraplegia;Autism;Parkinson's disease;Friedreich's ataxia;Major depressive disorder;Aromatic L-amino acid decarboxylase deficiency;Celiac disease;Sepiapterin reductase deficiency;Pyridoxamine 5-prime-phosphate oxidase deficiency;Parkinsonian syndrome;Urocanase deficiency;Eosinophilic esophagitis;Perillyl alcohol administration for cancer treatment;Phenylketonuria;Dopamine-serotonin Vesicular Transport Defect;Brunner Syndrome,NA;161400;139250;181500;NA;167870;NA;182601;209850;168600;229300;608516;608643;212750;182125;610090;NA;276880;610247;NA;261600;NA;300615
HMDB0000119,Transurethral resection of the prostate;Bladder infections;Primary hyperoxaluria I,NA;NA;NA
HMDB0000121,Folate deficiency;Rheumatoid arthritis;Hereditary folate malabsorption;Dimethylglycine Dehydrogenase Deficiency;Alzheimer's disease;Fibromyalgia;Bladder infections,NA;180300;229050;605850;104300;NA;NA
